0.5000,-99.6369013940
0.5100,-99.6947177920
0.5200,-99.7481379590
0.5300,-99.7974985540
0.5400,-99.8431080150
0.5500,-99.8852491620
0.5600,-99.9241815820
0.5700,-99.9601437190
0.5800,-99.9933547770
0.5900,-100.0240164400
0.6000,-100.0523143900
0.6100,-100.0784197600
0.6200,-100.1024903100
0.6300,-100.1246716500
0.6400,-100.1450982300
0.6500,-100.1638943000
0.6600,-100.1811747500
0.6700,-100.1970458900
0.6800,-100.2116061500
0.6900,-100.2249467500
0.7000,-100.2371522300
0.7100,-100.2483010200
0.7200,-100.2584659300
0.7300,-100.2677145300
0.7400,-100.2761096600
0.7500,-100.2837096800
0.7600,-100.2905689100
0.7700,-100.2967378400
0.7800,-100.3022635100
0.7900,-100.3071896900
0.8000,-100.3115571500
0.8100,-100.3154039000
0.8200,-100.3187653500
0.8300,-100.3216745100
0.8400,-100.3241621900
0.8500,-100.3262571100
0.8600,-100.3279860900
0.8700,-100.3293741600
0.8800,-100.3304447000
0.8900,-100.3312195500
0.9000,-100.3317191100
0.9100,-100.3319624800
0.9200,-100.3319674900
0.9300,-100.3317508500
0.9400,-100.3313281700
0.9500,-100.3307140800
0.9600,-100.3299223000
0.9700,-100.3289656600
0.9800,-100.3278561300
0.9900,-100.3266051100
1.0000,-100.3252231300
1.0100,-100.3237201000
1.0200,-100.3221053500
1.0300,-100.3203876100
1.0400,-100.3185750800
1.0500,-100.3166754700
1.0600,-100.3146960200
1.0700,-100.3126435000
1.0800,-100.3105243000
1.0900,-100.3083443900
1.1000,-100.3061094100
1.1100,-100.3038246200
1.1200,-100.3014949900
1.1300,-100.2991251600
1.1400,-100.2967195100
1.1500,-100.2942821300
1.1600,-100.2918168600
1.1700,-100.2893273200
1.1800,-100.2868168800
1.1900,-100.2842887100
1.2000,-100.2817458000
1.2100,-100.2791909400
1.2200,-100.2766267200
1.2300,-100.2740556100
1.2400,-100.2714799000
1.2500,-100.2689017300
1.2600,-100.2663231100
1.2700,-100.2637459300
1.2800,-100.2611719600
1.2900,-100.2586028300
1.3000,-100.2560401000
1.3100,-100.2534852100
1.3200,-100.2509395100
1.3300,-100.2484042600
1.3400,-100.2458806500
1.3500,-100.2433697700
1.3600,-100.2408726700
1.3700,-100.2383903100
1.3800,-100.2359235900
