0.5000,-99.6416558730
0.5100,-99.6995006990
0.5200,-99.7529500230
0.5300,-99.8023404760
0.5400,-99.8479804580
0.5500,-99.8901527810
0.5600,-99.9291169970
0.5700,-99.9651115250
0.5800,-99.9983555460
0.5900,-100.0290507200
0.6000,-100.0573827200
0.6100,-100.0835226400
0.6200,-100.1076282500
0.6300,-100.1298451300
0.6400,-100.1503077300
0.6500,-100.1691402700
0.6600,-100.1864576400
0.6700,-100.2023661500
0.6800,-100.2169642200
0.6900,-100.2303430400
0.7000,-100.2425871600
0.7100,-100.2537750000
0.7200,-100.2639793600
0.7300,-100.2732678300
0.7400,-100.2817032000
0.7500,-100.2893438600
0.7600,-100.2962441000
0.7700,-100.3024544300
0.7800,-100.3080218600
0.7900,-100.3129901600
0.8000,-100.3174001200
0.8100,-100.3212897200
0.8200,-100.3246943700
0.8300,-100.3276470900
0.8400,-100.3301786700
0.8500,-100.3323178500
0.8600,-100.3340914300
0.8700,-100.3355244500
0.8800,-100.3366402800
0.8900,-100.3374607800
0.9000,-100.3380063400
0.9100,-100.3382960500
0.9200,-100.3383477700
0.9300,-100.3381781900
0.9400,-100.3378029500
0.9500,-100.3372366700
0.9600,-100.3364930800
0.9700,-100.3355850000
0.9800,-100.3345244900
0.9900,-100.3333228400
1.0000,-100.3319906400
1.0100,-100.3305378200
1.0200,-100.3289737100
1.0300,-100.3273070600
1.0400,-100.3255460900
1.0500,-100.3236985100
1.0600,-100.3217715800
1.0700,-100.3197720700
1.0800,-100.3177064100
1.0900,-100.3155805800
1.1000,-100.3134002300
1.1100,-100.3111706600
1.1200,-100.3088968400
1.1300,-100.3065834400
1.1400,-100.3042348500
1.1500,-100.3018552000
1.1600,-100.2994483500
1.1700,-100.2970179500
1.1800,-100.2945673800
1.1900,-100.2920998700
1.2000,-100.2896184100
1.2100,-100.2871258200
1.2200,-100.2846247500
1.2300,-100.2821176800
1.2400,-100.2796069300
1.2500,-100.2770947000
1.2600,-100.2745830300
1.2700,-100.2720738400
1.2800,-100.2695689300
