0.5000,-99.3793979962
0.5100,-99.4369135021
0.5200,-99.4900208135
0.5300,-99.5390575304
0.5400,-99.5843330117
0.5500,-99.6261309883
0.5600,-99.6647119053
0.5700,-99.7003150253
0.5800,-99.7331603210
0.5900,-99.7634501824
0.6000,-99.7913709578
0.6100,-99.8170943475
0.6200,-99.8407786666
0.6300,-99.8625699894
0.6400,-99.8826031877
0.6500,-99.9010028745
0.6600,-99.9178842611
0.6700,-99.9333539365
0.6800,-99.9475105768
0.6900,-99.9604455911
0.7000,-99.9722437086
0.7100,-99.9829835152
0.7200,-99.9927379408
0.7300,-100.0015747050
0.7400,-100.0095567230
0.7500,-100.0167424770
0.7600,-100.0231863550
0.7700,-100.0289389610
0.7800,-100.0340473980
0.7900,-100.0385555290
0.8000,-100.0425042170
0.8100,-100.0459315410
0.8200,-100.0488730000
0.8300,-100.0513617000
0.8400,-100.0534285220
0.8500,-100.0551022820
0.8600,-100.0564098780
0.8700,-100.0573764230
0.8800,-100.0580253730
0.8900,-100.0583786390
0.9000,-100.0584566990
0.9100,-100.0582786920
0.9200,-100.0578625180
0.9300,-100.0572249130
0.9400,-100.0563815400
0.9500,-100.0553470530
0.9600,-100.0541351700
0.9700,-100.0527587350
0.9800,-100.0512297760
0.9900,-100.0495595610
1.0000,-100.0477586460
1.0100,-100.0458369230
1.0200,-100.0438036610
1.0300,-100.0416675520
1.0400,-100.0394367410
1.0500,-100.0371188630
1.0600,-100.0347210770
1.0700,-100.0322500960
1.0800,-100.0297122110
1.0900,-100.0271133200
1.1000,-100.0244589500
1.1100,-100.0217542820
1.1200,-100.0190041720
1.1300,-100.0162131650
1.1400,-100.0133855230
1.1500,-100.0105252340
1.1600,-100.0076360320
1.1700,-100.0047214100
1.1800,-100.0017846390
1.1900,-99.9988287750
1.2000,-99.9958566780
1.2100,-99.9928710193
1.2200,-99.9898742951
1.2300,-99.9868688369
1.2400,-99.9838568212
1.2500,-99.9808402795
1.2600,-99.9778211069
1.2700,-99.9748010709
1.2800,-99.9717818193
1.2900,-99.9687648879
1.3000,-99.9657517073
1.3100,-99.9627436101
1.3200,-99.9597418367
1.3300,-99.9567475416
1.3400,-99.9537617990
1.3500,-99.9507856077
1.3600,-99.9478198962
1.3700,-99.9448655272
1.3800,-99.9419233022
1.3900,-99.9389939650
1.4000,-99.9360782057
1.4100,-99.9331766640
1.4200,-99.9302899329
1.4300,-99.9274185609
1.4400,-99.9245630556
1.4500,-99.9217238857
1.4600,-99.9189014835
1.4700,-99.9160962474
1.4800,-99.9133085438
1.4900,-99.9105387087
1.5000,-99.9077870500
1.5100,-99.9050538486
1.5200,-99.9023393605
1.5300,-99.8996438176
1.5400,-99.8969674293
1.5500,-99.8943103836
1.5600,-99.8916728486
1.5700,-99.8890549730
1.5800,-99.8864568873
1.5900,-99.8838787049
1.6000,-99.8813205225
1.6100,-99.8787824216
1.6200,-99.8762644686
1.6300,-99.8737667158
1.6400,-99.8712892022
1.6500,-99.8688319538
1.6600,-99.8663949847
1.6700,-99.8639782972
1.6800,-99.8615818828
1.6900,-99.8592057225
1.7000,-99.8568497872
1.7100,-99.8545140386
1.7200,-99.8521984296
1.7300,-99.8499029044
1.7400,-99.8476273995
1.7500,-99.8453718438
1.7600,-99.8431361591
1.7700,-99.8409202608
1.7800,-99.8387240578
1.7900,-99.8365474534
1.8000,-99.8343903457
1.8100,-99.8322526275
1.8200,-99.8301341872
1.8300,-99.8280349089
1.8400,-99.8259546727
1.8500,-99.8238933553
1.8600,-99.8218508302
1.8700,-99.8198269679
1.8800,-99.8178216364
1.8900,-99.8158347014
1.9000,-99.8138660264
1.9100,-99.8119154734
1.9200,-99.8099829028
1.9300,-99.8080681737
1.9400,-99.8061711442
1.9500,-99.8042916716
1.9600,-99.8024296125
1.9700,-99.8005848231
1.9800,-99.7987571594
1.9900,-99.7969464770
2.0000,-99.7951526319
2.0100,-99.7933754800
2.0200,-99.7916148774
2.0300,-99.7898706808
2.0400,-99.7881427473
2.0500,-99.7864309345
2.0600,-99.7847351005
2.0700,-99.7830551044
2.0800,-99.7813908056
2.0900,-99.7797420648
2.1000,-99.7781087431
2.1100,-99.7764907026
2.1200,-99.7748878063
2.1300,-99.7732999180
2.1400,-99.7717269026
2.1500,-99.7701686257
2.1600,-99.7686249539
2.1700,-99.7670957546
2.1800,-99.7655808963
2.1900,-99.7640802484
2.2000,-99.7625936811
2.2100,-99.7611210654
2.2200,-99.7596622734
2.2300,-99.7582171780
2.2400,-99.7567856530
2.2500,-99.7553675729
2.2600,-99.7539628134
2.2700,-99.7525712506
2.2800,-99.7511927618
2.2900,-99.7498272250
2.3000,-99.7484745190
2.3100,-99.7471345236
2.3200,-99.7458071193
2.3300,-99.7444921873
2.3400,-99.7431896100
2.3500,-99.7418992703
2.3600,-99.7406210521
2.3700,-99.7393548402
2.3800,-99.7381005201
2.3900,-99.7368579782
2.4000,-99.7356271020
2.4100,-99.7344077796
2.4200,-99.7331999001
2.4300,-99.7320033535
